id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Beginner1,Noun,S is ～,私は先生です,I am a teacher.,私は | 先生 | です,watashi wa | sensei | desu,I | teacher | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,私はマイケルです,I am Michael.,私は | マイケル | です,watashi wa | maikeru | desu,I | Michael | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,彼は医者です,He is a doctor.,彼は | 医者 | です,kare wa | isha | desu,he | doctor | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,彼女は私の妹です,She is my sister.,彼女は | 私の妹 | です,kanojo wa | watashi no imouto | desu,she | my sister | is(polite)
,English,Japanese,Beginner1,Noun,,,,,,1
,English,Japanese,Beginner1,Noun,S is ～,これは私の車です,This is my car.,これは | 私の車 | です,kore wa | watashi no kuruma | desu,this | my car | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,私の車はこれです,My car is this one.,私の車は | これ | です,watashi no kuruma wa | kore | desu,my car | this | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,私の名前はマイケルです,My name is Michael.,私の名前は | マイケル | です,watashi no namae wa | maikeru | desu,my name | Michael | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,ここはトイレです,Here is the restroom.,ここは | トイレ | です,koko wa | toire | desu,here | restroom | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,トイレはここです,The restroom is here.,トイレは | ここ | です,toire wa | koko | desu,restroom | here | is(polite)
,English,Japanese,Beginner1,Noun,S is ～,この財布は私のです,This wallet is mine.,この財布は | 私の | です,kono saifu wa | watashi no | desu,this wallet | mine | is(polite)
,English,Japanese,Beginner1,Noun,,,,,,1
,English,Japanese,Beginner1,Noun,S is ～,それは私の荷物です,It is an apple.,それは | 私の荷物 | です,sore wa | watashi no nimotsu | desu,it | my luggage | is(p)
,English,Japanese,Beginner1,Noun,S is ～,それは彼女の財布です,It is a fridge.,それは | 彼女の財布 | です,sore wa | kanojo no saifu | desu,それは | 彼女の財布 | です
