id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),yournameさんは、やさしいですか？,Is yourname kind?,yournameさんは、| やさしいです | か？,yourname san wa | yasashii desu | ka？,yourname | kind(polite) | ？
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),はい、とてもやさしいです,"Yes, very kind.",はい、| とても | やさしいです,hai | totemo | yasashii desu,yes | very | kind(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),はい、やさしいほうです,Relatively yes.,はい、| やさしい | ほう | です,hai | yasashii | hou | desu,yes | kind | comparatively | is(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),まあまあやさしいです,To some extent yes.,まあまあ | やさしいです,maamaa | yasashii desu,to some extent | kind(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),別にやさしくないです、普通です,"Not much, just normal.",別に | やさしくないです、 | 普通 | です,betsuni | yasashiku nai desu | futsuu | desu,not much | not kind(polite)  | normal | is(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),いいえ、そんなにやさしくないです,"No, he / she is not that kind.",いいえ、 | そんなに | やさしくないです,iie | sonnani | yasashiku nai desu ,no | that much | not kind(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),いいえ、全然やさしくないです,"No, he / she is not kind at all.",いいえ、| 全然 | やさしくないです,iie | zenzen | yasashiku nai desu ,no | at all | not kind(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),はい、やさしすぎです,"Yes, too kind.",はい、 | やさしすぎです,hai | yasashi sugi desu,yes | too kind(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),人によります,Depends on the person.,人に | よります,hito ni | yori masu,on person | depend(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),yournameさんのクラスメートも、やさしそうですね,yourname''s classmates also look kind huh?,yournameさんの | クラスメートも、| やさしそうです | ね,yourname san no | curasumeito mo | yasashi sou desu | ne,yourname''s | classmates too | look kind(polite) | huh
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),はい、やさしいと思います,"Yes, I think they are kind too.",はい、| やさしい | と思います,hai | yasashii | to omoi masu,yes | kind | think that(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),いいえ、やさしくないと思います,"No, I don''t think they are kind.",いいえ、| やさしくない | と思います,iie | yasashiku nai | to omoi masu,iie | not kind(polite) | think that(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),はい、クラスメートも皆、やさしいそうです,"Yes, I heard that all of his / her classmates are kind too.",はい、| クラスメートも | 皆、| やさしいそうです,hai | curasumeito mo | mina | yasashii sou desu,"yes | classmates too | everyone | according to the reputation,  kind(polite)"
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),この中で1番やさしいのは、誰ですか？,Who here is the kindest?,この中で | 1番 | やさしい | のは、| 誰 | です | か？,kono naka de | ichi ban | yasashii | no wa | dare | desu | ka？,in this | the most | kind | person | who | is(polite) | ？
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),私です,I am.,私 | です,watashi | desu,I | is(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),やさしい人とやさしくない人は、どっちが好きですか？,"Which do you like, kind person or not kind person?",やさしい人 | と | やさしくない人は、| どっちが | 好きです | か？,yasashii hito | to | yasashiku nai hito wa | docchi ga | suki desu | ka？,kind person | and | not kind person | which | like(polite) | ？
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),やさしい人が好きです,I like a kind person.,やさしい人が | 好きです,yasashii hito ga | suki desu,kind person | like(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),ちなみに、yournameさんは、前からやさしかったですか？,"By the way, has yourname been kind since before?",ちなみに、| yournameさんは、| 前から | やさしかったです | か？,chinamini | yourname san wa | mae kara | yasashi katta desu | ka？,by the way | yourname | since before | was kind(polite) | ？
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),はい、前からやさしかったです,"Yes, he / she has been kind since before.",はい、| 前から | やさしかったです,hai | mae kara | yasashi katta desu,yes | since before | was kind(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),いいえ、前はやさしくなかったです,"No, he / she was not kind before.",いいえ、| 前は | やさしくなかったです,iie | mae wa | yasashiku nakatta desu,no | before | was not kind(polite)
,English,Japanese,Beginner1,Adjective,やさしい / kind ( 1 ),最近やさしくなりました,He / She has suddenly become kind recently.,最近 | 急に | やさしくなりました,saikin | kyuu ni | yasashiku nari mashita,recently | suddenly | became kind(polite)
,,,,,,,,,,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),yournameさんは、忙しいですか？,Is yourname busy?,yournameさんは、| 忙しいです | か？,yourname san wa | isogashii desu | ka？,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),はい、とても忙しいです,"Yes, very busy.",はい、| とても | 忙しいです,hai | totemo | isogashii desu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),はい、忙しいほうです,Relatively yes.,はい、| 忙しい | ほう | です,hai | isogashii | hou | desu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),まあまあ忙しいです,To some extent yes.,まあまあ | 忙しいです,maamaa | isogashii desu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),別に忙しくないです、普通です,"Not much, just normal.",別に | 忙しくないです、| 普通 | です,betsuni | isogashiku nai desu | futsuu | desu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),いいえ、そんなに忙しくないです,"No, he / she is not that busy.",いいえ、| そんなに | 忙しくないです,iie | sonnani | isogashiku nai desu ,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),いいえ、全然忙しくないです,"No, he / she is not busy at all.",いいえ、| 全然 | 忙しくないです,iie | zenzen | isogashiku nai desu ,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),はい、忙しすぎです,"Yes, too busy.",はい、| 忙しすぎです,hai | isogashi sugi desu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),日によります,Depends on the day.,日に | よります,hi ni | yori masu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),yournameさんの友達も、忙しそうですね,yourname''s friends also look busy huh?,yournameさんの | 友達も、| 忙しそうです | ね,yourname san no | tomodachi mo | isogashi sou desu | ne,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),はい、忙しいと思います,"Yes, I think they are busy too.",はい、| 忙しい| と思います,hai | isogashii | to omoi masu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),いいえ、忙しくないと思います,"No, I don''t think they are busy.",いいえ、| 忙しくない | と思います,iie | isogashiku nai | to omoi masu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),はい、友達も皆、忙しいそうです,"Yes, I heard that all of his / her friends are busy too.",はい、| 友達も | 皆、| 忙しい | そうです,hai | tomodachi mo | mina | isogashii sou desu,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),この中で1番忙しいのは、誰ですか？,Who here is the busiest?,この中で | 1番 | 忙しい | のは、| 誰 | です | か？,kono naka de | ichi ban | isogashii | no wa | dare | desu | ka？,1
,English,Japanese,Beginner1,Adjective,忙しい / busy ( 2 ),私です,I am.,私 | です,watashi | desu,1
