id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Noun,S is ,I / he / she,私は先生です,I am a teacher.,私は | 先生 | です,watashi wa | sensei | desu,I | teacher | is(polite)
,English,Japanese,Noun,S is ,I / he / she,私はマイケルです,I am Michael.,私は | マイケル | です,watashi wa | maikeru | desu,I | Michael | is(polite)
,English,Japanese,Noun,S is ,I / he / she,彼は医者です,He is a doctor.,彼は | 医者 | です,kare wa | isha | desu,he | doctor | is(polite)
,English,Japanese,Noun,S is ,I / he / she,彼女は私の妹です,She is my sister.,彼女は | 私の妹 | です,kanojo wa | watashi no imouto | desu,she | my sister | is(polite)
,,,,,,,,,,1
,English,Japanese,Noun,S is ,this / this - / here,これは私の車です,This is my car.,これは | 私の車 | です,kore wa | watashi no kuruma | desu,this | my car | is(polite)
,English,Japanese,Noun,S is ,this / this - / here,私の車はこれです,My car is this one.,私の車は | これ | です,watashi no kuruma wa | kore | desu,my car | this | is(polite)
,English,Japanese,Noun,S is ,this / this - / here,私の名前はマイケルです,My name is Michael.,私の名前は | マイケル | です,watashi no namae wa | maikeru | desu,my name | Michael | is(polite)
,English,Japanese,Noun,S is ,this / this - / here,ここはトイレです,Here is the restroom.,ここは | トイレ | です,koko wa | toire | desu,here | restroom | is(polite)
,English,Japanese,Noun,S is ,this / this - / here,トイレはここです,The restroom is here.,トイレは | ここ | です,toire wa | koko | desu,restroom | here | is(polite)
,English,Japanese,Noun,S is ,this / this - / here,この財布は私のです,This wallet is mine.,この財布は | 私の | です,kono saifu wa | watashi no | desu,this wallet | mine | is(polite)
,,,,,,,,,,1
,English,Japanese,Noun,S is ,it / the - / there,それは私の荷物です,It is an apple.,それは | 私の荷物 | です,sore wa | watashi no nimotsu | desu,it | my luggage | is(p)
,English,Japanese,Noun,S is ,it / the - / there,それは彼女の財布です,It is a fridge.,それは | 彼女の財布 | です,sore wa | kanojo no saifu | desu,それは | 彼女の財布 | です
,English,Japanese,Noun,S is ,it / the - / there,そこは私の部屋です,It is my room.,そこは | 私の部屋 | です,soko wa | watashi no heya | desu,そこは | 私の部屋 | です
,English,Japanese,Noun,S is ,it / the - / there,私の部屋はそこです,My room is there.,私の部屋は | そこ | です,watashi no heya wa | soko | desu,私の部屋は | そこ | です
,English,Japanese,Noun,S is ,it / the - / there,その水はミネラルウォーターです,The water is mineral water.,その水は | ミネラルウォーター | です,sono mizu wa | mineraru wootaa | desu,その水は | ミネラルウォーター | です
,English,Japanese,Noun,S is ,it / the - / there,そのスマホは彼のです,The smartphone is his.,そのスマホは | 彼の | です,sono sumaho wa | kare no | desu,そのスマホは | 彼の | です
,,,,,,,,,,1
,English,Japanese,Noun,S is ,that / that - / over there,あれは私の娘です,That is my daughter.,あれは | 私の娘 | です,are wa | watashi no musume | desu,1
,English,Japanese,Noun,S is ,that / that - / over there,あれは彼女の家です,That is her house.,あれは | 彼女の家 | です,are wa | kanojo no ie | desu,1
,English,Japanese,Noun,S is ,that / that - / over there,あそこは駅です,That is the station.,あそこは | 駅 | です,asoko wa | eki | desu,1
,English,Japanese,Noun,S is ,that / that - / over there,駅はあそこです,The station is there.,駅は | あそこ | です,eki wa | asoko | desu,1
,English,Japanese,Noun,S is ,that / that - / over there,あの建物は教会です,That building is the church.,あの建物は | 教会 | です,ano tatemono wa | kyoukai | desu,1
,,,,,,,,,,1
,,,,,,,,,,1
,English,Japanese,Noun,S is not ,I / he / she,私は先生ではありません,I am not a teacher.,私は | 先生 | ではありません,watashi wa | sensei | dewa arimasen,1
,English,Japanese,Noun,S is not ,I / he / she,彼は医者ではありません,He is not a doctor.,彼は | 医者 | ではありません,kare wa | isha | dewa arimasen,1
,English,Japanese,Noun,S is not ,I / he / she,彼女は私の妹ではありません,She is not my sister.,彼女は | 私の妹 | ではありません,kanojo wa | watashi no imouto | dewa arimasen,1
,,,,,,,,,,1
,English,Japanese,Noun,S is not ,this / this - / here,これは私の車ではありません,This is not my car.,これは | 私の車 | ではありません,kore wa | watashi no kuruma | dewa arimasen,1
,English,Japanese,Noun,S is not ,this / this - / here,私の車はこれではありません,My car is not this one.,私の車は | これ | ではありません,watashi no kuruma wa | kore | dewa arimasen,1
,English,Japanese,Noun,S is not ,this / this - / here,ここはトイレではありません,This is not the restroom.,ここは | トイレ | ではありません,koko wa | toire | dewa arimasen,1
,English,Japanese,Noun,S is not ,this / this - / here,トイレはここではありません,The restroom is not here.,トイレは | ここ | ではありません,toire wa | koko | dewa arimasen,1
,English,Japanese,Noun,S is not ,this / this - / here,この財布は私のではありません,This wallet is not mine.,この財布は | 私の | ではありません,kono saifu wa | watashi no | dewa arimasen,1
,,,,,,,,,,1
,English,Japanese,Noun,S is not ,it / the - / there,それは私の荷物ではありません,It is not my luggage.,それは | 私の荷物 | ではありません,sore wa | watashi no nimotsu | dewa arimasen,1
,English,Japanese,Noun,S is not ,it / the - / there,それは彼女の財布ではありません,It is not her wallet.,それは | 彼女の財布 | ではありません,sore wa | kanojo no saifu | dewa arimasen,1
,English,Japanese,Noun,S is not ,it / the - / there,そこは私の部屋ではありません,It is not my room.,そこは | 私の部屋 | ではありません,soko wa | watashi no heya | dewa arimasen,1
,English,Japanese,Noun,S is not ,it / the - / there,私の部屋はそこではありません,My room is there.,私の部屋は | そこ | ではありません,watashi no heya wa | soko | dewa arimasen,1
,English,Japanese,Noun,S is not ,it / the - / there,その水はミネラルウォーターではありません,The water is not mineral water.,その水は | ミネラルウォーター | ではありません,sono mizu wa | mineraru wootaa | dewa arimasen,1
,English,Japanese,Noun,S is not ,it / the - / there,そのスマホは彼のではありません,The smartphone is not his.,そのスマホは | 彼の | ではありません,sono sumaho wa | kare no | dewa arimasen,1
,,,,,,,,,,1
,English,Japanese,Noun,S is not ,that / that - / over there,あれは私の車ではありません,That is not my car.,あれは | 私の車 | ではありません,are wa | watashi no kuruma | dewa arimasen,1
,English,Japanese,Noun,S is not ,that / that - / over there,あれは彼女の家ではありません,That is not her house.,あれは | 彼女の家 | ではありません,are wa | kanojo no ie | dewa arimasen,1
,English,Japanese,Noun,S is not ,that / that - / over there,あそこは駅ではありません,That is not the station.,あそこは | 駅 | ではありません,asoko wa | eki | dewa arimasen,1
,English,Japanese,Noun,S is not ,that / that - / over there,駅はあそこではありません,The station is not there.,駅は | あそこ | ではありません,eki wa | asoko | dewa arimasen,1
,English,Japanese,Noun,S is not ,that / that - / over there,あの建物は教会ではありません,That building is not the church.,あの建物は | 教会 | ではありません,ano tatemono wa | kyoukai | dewa arimasen,1
,,,,,,,,,,1
,,,,,,,,,,1
,English,Japanese,Noun,Is S -？,you / he / she,あなたは先生ですか？,Are you a teacher?,あなたは | 先生 | です | か？,anata wa | sensei | desu | ka？,1
,English,Japanese,Noun,Is S -？,you / he / she,彼は医者ですか？,Is he a doctor?,彼は | 医者 | です | か？,kare wa | isha | desu | ka？,1
,English,Japanese,Noun,Is S -？,you / he / she,彼女はあなたの妹ですか？,Is she your younger sister?,彼女は | あなたの妹 | です | か？,kanojo wa | anata no imouto | desu | ka？,1
,,,,,,,,,,1
,English,Japanese,Noun,Is S -？,this / this - / here,これはあなたの車ですか？,Is this your car?,これは | あなたの車 | です | か？,kore wa | anata no kuruma | desu | ka？,1
,English,Japanese,Noun,Is S -？,this / this - / here,あなたの車はこれですか？,Is your car this one?,あなたの車は | これ | です | か？,anata no kuruma wa | kore | desu | ka？,1
,English,Japanese,Noun,Is S -？,this / this - / here,ここはトイレですか？,Is this the restroom?,ここは | トイレ | です | か？,koko wa | toire | desu | ka？,1
,English,Japanese,Noun,Is S -？,this / this - / here,トイレはここですか？,Is the restroom here?,トイレは | ここ | です | か？,toire wa | koko | desu | ka？,1
,English,Japanese,Noun,Is S -？,this / this - / here,この財布はあなたのですか？,Is this wallet yours?,この財布は | あなたの | です | か？,kono saifu wa | anata no | desu | ka？,1
,,,,,,,,,,1
,English,Japanese,Noun,Is S -？,it / the - / there,それはあなたの荷物ですか？,Is it your luggage?,それは | あなたの荷物 | です | か？,それは | あなたの荷物 | です | か？,1
,English,Japanese,Noun,Is S -？,it / the - / there,それは彼女の財布ですか？,Is it her wallet?,それは | 彼女の財布 | です | か？,それは | 彼女の財布 | です | か？,1
,English,Japanese,Noun,Is S -？,it / the - / there,そこはあなたの部屋ですか？,Is it your room?,そこは | あなたの部屋 | です | か？,そこは | あなたの部屋 | です | か？,1
,English,Japanese,Noun,Is S -？,it / the - / there,あなたの部屋はそこですか？,Is your room there?,あなたの部屋は | そこ | です | か？,あなたの部屋は | そこ | です | か？,1
